title,link,deadline
Rethinking urban spaces towards climate neutrality,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",11 February 2025
Development of next generation synthetic renewable fuel technologies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
DACCS and BECCS for CO2 removal/negative emissions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-12?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
Market Uptake Measures of renewable energy systems,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-10?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
"Minimisation of environmental, and optimisation of socio-economic impacts in the deployment, operation and decommissioning of offshore wind farms","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-08?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
"Development of smart concepts of integrated energy driven bio-refineries for co-production of advanced biofuels, bio-chemicals and biomaterials","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
"Design for adaptability, re-use and deconstruction of buildings, in line with the principles of circular economy (Built4People Partnership)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
"Resource Efficiency of PV in Production, Use and Disposal","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-07?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
BIM-based processes and digital twins for facilitating and optimising circular energy renovation (Built4People Partnership),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
Critical technologies for the future ocean energy farms,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
"Innovative, Community-Integrated PV systems","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-06?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
Digital tools for CSP and solar thermal plants,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
Industrialisation of sustainable and circular deep renovation workflows (Built4People Partnership),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
"Robotics and other automated solutions for construction, renovation and maintenance in a sustainable built environment (Built4People Partnership)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
CCU for the production of fuels,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-11?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
Demonstrations of innovative floating wind concepts,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-09?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
PV-integrated electric mobility applications,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-05?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
"Digital solutions to foster participative design, planning and management of buildings, neighbourhoods and urban districts (Built4People Partnership)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-05?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 February 2025
6G-BRICKS 2nd Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8524?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",23 December 2024
fuTOURiSME Open Call for Innovative Projects in Tourism,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8921?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",27 November 2024
BlueLightS - 1st Call for Blue Challenges in European Schools,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8904?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 November 2024
INCIRCULAR - Open Call for SMEs to deploy innovative bricks for developing a value chain for circular plastic in Europe,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8862?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",13 November 2024
Water for Circular Economy,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8901?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",13 November 2024
Definition of specifications for cascading funding support services,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8941?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",13 November 2024
MSCA Researchers at Risk 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2024-RR-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",14 January 2025
Cross-Border Cooperation Programme Montenegro-Kosovo for 2021-2027 (Budget lines IPA 2022 and 2024),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182608PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",25 October 2024
Third Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/6381?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",31 October 2024
Selection of partners to carry out EUROPE DIRECT activities,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ED-LU-2024?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",10 October 2024
Dijon 3rd Open2Horizon Innovation Challenge,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8884?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",26 October 2024
FIDAL Open Calls Round 2 on 5G Evolved Use Cases,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8541?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",10 December 2024
Dijon 2nd Open2Horizon Innovation Challenge,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8883?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",26 October 2024
Dijon 1st Open2Horizon Innovation Challenge,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8882?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",26 October 2024
StandICT.eu 2026 – 6th Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8881?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 November 2024
"1st Call for Proposals under Cross-border Cooperation Programme Serbia – North Macedonia for 2021-2027 under the Instrument of Pre-accession Assistance (IPA III), allocations 2022 and 2024","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182708PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",22 October 2024
Support to Civil Society Organisations in the Republic of Moldova in the field of Home Affairs - Security and Migration,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182750PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",30 October 2024
Inclusive Gender Equality Champions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2024-GENDER-Prize-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 October 2024
Newcomer Gender Equality Champions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2024-GENDER-Prize-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 October 2024
Sustainable Gender Equality Champions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2024-GENDER-Prize-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 October 2024
"ELBE EUROCLUSTER CALL FOR FINANCIAL SUPPORT TO INTERNATIONALISATION - UK, USA, Brazil & Japan (SMP-COSME-2021-CLUSTER)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8761?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",03 November 2024
LIFE 2024 Capacity Building,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/LIFE-2025-TA-CAP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",28 January 2025
1st SMURF open call for small forest owners’ organizations,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8523?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",30 October 2024
Driving Urban Transitions (DUT) Call 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8441?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",14 November 2024
OpenAgri Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8825?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",02 December 2024
Call for Pilots within the European data space for smart communities (submission round 2),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8645?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",01 December 2024
dAIEDGE Open Call for Exchange Programmes,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7883?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",31 October 2024
Spearheading Digital Governance transformation in Ecuador,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/181671PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",24 October 2024
SILEO 2nd Call for SILEO Advanced Technology Uptake Projects,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8201?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",25 October 2024
Green at Heart Project - Call for Proposals: Financial Support for Social Economy SMEs,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8643?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",28 October 2024
Call for financial support to third parties - Educational institutions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8683?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",20 November 2024
Call for financial support to third parties - Suppliers,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8682?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",20 November 2024
NEPHELE 2nd Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8121?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",20 October 2024
VILNIUS TECH MERIT Project Excellence Scholarship  and Mobility Grant Award Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8123?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",30 June 2026
"Support to the Sanitary and Phytosanitary (SPS) Quality, Monitoring and Control Compliance Systems of Plant-based Primary and semi- processed Agricultural Products in Ethiopia","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182596PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",25 October 2024
"Appui européen au Programme intégré de reconstruction et
mise à niveau générale des zones sinistrées (2024-2028)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182581PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 November 2024
Financial support for innovative digital solutions focusing on cyber security ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8642?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2024
Exchange Schemes Second Call for Proposals (oc2-2024-TES),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8482?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",14 October 2024
Re-Industrialisation of Europe Flagship Call 2025  (EIT Health Support to IPCEI Med4Cure) ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8661?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2024
Targeted Open Call 2025,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8662?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2024
Call for Design Platform,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-Chips-2024-CSA-CDP-1?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",10 October 2024
Helping leverage networking of European bioeconomy ecosystem,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8501?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",10 October 2024
VILNIUS TECH MERIT Project Targeted Scholarship Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8122?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2025
Resilmesh Open Call 1,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8521?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 October 2024
Support to the Justice of Mongolia,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182430PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",18 October 2024
DIGITWIN4CIUE project-Scholarships for the Executive Master in Digital Twins on Infrastructures and cities,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7981?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",31 October 2024
Alliance for Language Technologies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2024-AI-B-06-LANGUAGE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",26 September 2024
"Pilots of long-term climate impact forest monitoring sites – Linking stand-level information and remote sensing
","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8502?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",01 November 2024
Pilots of long-term climate impact forest monitoring sites: Providing temporally resolved ecosystem-level information on the effects of climatic drivers on forest structure and function in near real-time ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8503?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",01 November 2024
Renewable Energy financing mechanisms multi technology,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RENEWFM-2025-INVEST-MULTI?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",04 March 2025
Support to improving working conditions and preparing the Republic of Serbia to participate in EURES,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182509PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 October 2024
Master School and Fellowship Academy Open Call (MS),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8461?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",10 October 2024
INNOVDEPLANT,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/PPPA-2024-INNOVDEPLANT?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",30 October 2024
Sport Supports - emergency sport actions for youth,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/PPPA-SPORT-2024-EMERGENCY-YOUTH?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",17 October 2024
European Partnership on Innovative SMEs / Innowwide CALL 3,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7487?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2024
The DeepTechers - Building Synergies Through Global Deep-Tech Exchange,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8401?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",01 October 2024
EIT RawMaterials 2024 FAST-TRACK Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8061?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",19 October 2024
DALIA Rivers Revived - Open Call for Associated Regions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8101?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 October 2024
STAGE Financial Grant Programme Call 4,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8181?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 November 2024
ERC SYNERGY GRANTS,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERC-2025-SyG?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",06 November 2024
ERC STARTING GRANTS,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERC-2025-STG?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2024
The Galileo PRS service for governmental authorised use cases,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EUSPA-2023-SPACE-01-44?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",08 October 2024
ICAERUS PULL 2 Open Call for Farming Forestry and Rural Challenges,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7841?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",16 October 2024
CoCreate NEB,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8022?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",10 October 2024
European Digital Media Observatory,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2024-BESTUSE-TECH-07-EDMO?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 November 2024
Specialised Education Programmes in Key Capacity Areas,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2024-ADVANCED-DIGITAL-07-KEYCAPACITY?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 November 2024
Competence Centers-Coordination and Support Action,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-Chips-2024-CSA-CCC-2?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",02 October 2024
Support to the implementation of Multi-Country Projects (MCPs),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2024-BESTUSE-07-MULTICOUNTRY?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 November 2024
Role of nitrate/nitrite and of processing and storage in the N-nitrosamine formation in certain foods,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EUBA-EFSA-2024-FEEDCO-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",28 November 2024
Towards networked Local Digital Twins in the EU,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2024-CLOUD-DATA-AI-07-DIGITALTWIN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 November 2024
Enlarging existing or Launching New Cross-Border SOC Platforms,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-SOCPLAT?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 January 2025
Strengthening the SOC Ecosystem,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-SOCSYS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 January 2025
"Preparedness Support and Mutual Assistance, Targeting Larger Industrial Operations and Installations","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-LARGEOPER?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 January 2025
Support for Implementation of EU Legislation on Cybersecurity and National Cybersecurity Strategies (2024),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-CYBERSEC-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 January 2025
Development and Deployment of Advanced Key Technologies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-KEYTECH?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 January 2025
National SOCs,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-SOC?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",21 January 2025
CLIMAAX 2nd Open Call FOR REGIONS and COMMUNITIES,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7861?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",15 October 2024
SEE BRIDGE Open Call for SE SMEs in energy intensive industries,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7901?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",09 October 2024
MK 24 IPA AG 01 24 Strengthening the National phytosanitary system,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182201PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",11 October 2024
Horizon-EIT-2024-Prize-EPWI-WomenLeadership,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIT-2024-WomenInnovatorsPrize?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",25 September 2024
Open Topic,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2024-BM-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",20 November 2024
Detection and tracking of illegal and trafficked goods,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2024-BM-01-05?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",20 November 2024
Open Topic,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2024-DRS-01-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=100&sortBy=startDate",20 November 2024
